Programming Language	Feb 2026	Feb 2025	Trending	Ratings	Change
Python	1	1		21.81%	-2.08%
C	2	4	up	11.05%	+1.22%
C++	3	2	down	8.55%	-2.82%
Java	4	3	down	8.12%	-2.54%
C#	5	5		6.83%	+2.71%
JavaScript	6	6		2.92%	-0.85%
Visual Basic	7	10	up	2.85%	+0.81%
R	8	15	upup	2.19%	+1.14%
SQL	9	7	down	1.93%	-0.93%
Delphi/Object Pascal	10	9	down	1.88%	-0.29%
Perl	11	30	upup	1.67%	+1.19%
Fortran	12	11	down	1.64%	-0.12%
PHP	13	14	up	1.34%	+0.20%
Rust	14	13	down	1.32%	-0.14%
Scratch	15	12	down	1.30%	-0.25%
Go	16	8	downdown	1.23%	-1.03%
Ada	17	24	upup	1.14%	+0.43%
MATLAB	18	16	down	1.13%	+0.14%
Assembly language	19	17	down	1.10%	+0.15%
Kotlin	20	23	up	1.05%	+0.29%
Swift	21			1.02%	
COBOL	22			0.76%	
Classic Visual Basic	23			0.74%	
Prolog	24			0.72%	
Ruby	25			0.71%	
Dart	26			0.61%	
Lua	27			0.60%	
SAS	28			0.57%	
Julia	29			0.54%	
Lisp	30			0.49%	
Objective-C	31			0.48%	
TypeScript	32			0.47%	
PL/SQL	33			0.45%	
VBScript	34			0.39%	
Haskell	35			0.31%	
Erlang	36			0.29%	
Ladder Logic	37			0.28%	
(Visual) FoxPro	38			0.28%	
Scala	39			0.27%	
LabVIEW	40			0.27%	
PowerShell	41			0.26%	
Transact-SQL	42			0.23%	
X++	43			0.22%	
ABAP	44			0.21%	
Elixir	45			0.19%	
Zig	46			0.19%	
ActionScript	47			0.18%	
D	48			0.17%	
Logo	49			0.17%	
PL/I	50			0.17%	
Algol	51				
Alice	52				
Apex	53				
Awk	54				
Bash	55				
C shell	56				
Caml	57				
CL (OS/400)	58				
Clojure	59				
Common Lisp	60				
F#	61				
Forth	62				
GAMS	63				
GML	64				
Groovy	65				
Hack	66				
Icon	67				
Inform	68				
Io	69				
J	70				
J#	71				
JScript	72				
JScript.NET	73				
Korn shell	74				
ML	75				
Modula-2	76				
Mojo	77				
MQL5	78				
MS-DOS batch	79				
NATURAL	80				
Nim	81				
OCaml	82				
OpenCL	83				
Q	84				
REXX	85				
RPG	86				
S	87				
Scheme	88				
Small Basic	89				
Smalltalk	90				
Solidity	91				
SPARK	92				
Structured Text	93				
Tcl	94				
V	95				
Vala/Genie	96				
VHDL	97				
WebAssembly	98				
Wolfram	99				
Xojo	100				
