Programming Language	Mar 2026	Mar 2025	Trending	Ratings	Change
Python	1	1		21.25%	-2.59%
C	2	4	up	11.55%	+2.02%
C++	3	2	down	8.18%	-2.90%
Java	4	3	down	7.99%	-2.37%
C#	5	5		6.36%	+1.49%
JavaScript	6	6		3.45%	-0.01%
Visual Basic	7	9	up	2.50%	-0.02%
SQL	8	8		2.00%	-0.57%
R	9	16	upup	1.88%	+0.94%
Delphi/Object Pascal	10	10		1.80%	-0.36%
Perl	11	24	upup	1.75%	+1.05%
Scratch	12	12		1.63%	-0.03%
Fortran	13	11	down	1.45%	-0.25%
Rust	14	14		1.31%	+0.09%
MATLAB	15	15		1.29%	+0.31%
Go	16	7	downdown	1.29%	-1.49%
Assembly language	17	17		1.29%	+0.42%
PHP	18	13	downdown	1.23%	-0.25%
Ada	19	18	down	1.10%	+0.25%
Swift	20	26	upup	1.04%	+0.44%
Prolog	21			0.84%	
Kotlin	22			0.82%	
Classic Visual Basic	23			0.73%	
COBOL	24			0.72%	
Dart	25			0.69%	
Lisp	26			0.69%	
SAS	27			0.66%	
PL/SQL	28			0.64%	
Julia	29			0.59%	
Ruby	30			0.55%	
Objective-C	31			0.50%	
Lua	32			0.42%	
PowerShell	33			0.40%	
Erlang	34			0.35%	
TypeScript	35			0.34%	
ABAP	36			0.31%	
Transact-SQL	37			0.30%	
Scala	38			0.30%	
(Visual) FoxPro	39			0.28%	
X++	40			0.28%	
ML	41			0.27%	
Haskell	42			0.26%	
VBScript	43			0.24%	
Awk	44			0.20%	
Wolfram	45			0.20%	
Elixir	46			0.20%	
OCaml	47			0.19%	
Zig	48			0.19%	
Solidity	49			0.18%	
Ladder Logic	50			0.17%	
ActionScript	51				
Algol	52				
Apex	53				
Applescript	54				
Bash	55				
bc	56				
Caml	57				
CFML	58				
CL (OS/400)	59				
Clojure	60				
CoffeeScript	61				
Common Lisp	62				
D	63				
F#	64				
Forth	65				
GAMS	66				
GML	67				
Groovy	68				
Hack	69				
Icon	70				
Inform	71				
Io	72				
J	73				
J#	74				
JScript	75				
JScript.NET	76				
Korn shell	77				
LabVIEW	78				
Logo	79				
LotusScript	80				
Modula-2	81				
Mojo	82				
MQL5	83				
NATURAL	84				
NetLogo	85				
OpenCL	86				
PL/I	87				
PostScript	88				
Q	89				
REXX	90				
RPG	91				
S	92				
Scheme	93				
Small Basic	94				
SPARK	95				
SPSS	96				
Tcl	97				
V	98				
VHDL	99				
Xojo	100				
