Programming Language	May 2026	May 2025	Trending	Ratings	Change
Python	1	1		19.98%	-5.37%
C	2	3	up	11.55%	+1.84%
Java	3	4	up	7.94%	-1.37%
C++	4	2	down	7.92%	-2.02%
C#	5	5		5.41%	+1.19%
JavaScript	6	6		3.08%	-0.60%
Visual Basic	7	8	up	2.90%	+0.28%
R	8	12	upup	1.77%	+0.31%
SQL	9	10	up	1.57%	-0.33%
Delphi/Object Pascal	10	9	down	1.44%	-0.85%
Fortran	11	11		1.22%	-0.55%
Scratch	12	14	up	1.18%	-0.16%
Perl	13	16	up	1.18%	-0.02%
PHP	14	15	up	1.15%	-0.07%
Rust	15	19	upup	1.14%	+0.21%
Go	16	7	downdown	1.12%	-1.58%
Assembly language	17	18	up	1.02%	+0.05%
Swift	18	23	upup	0.93%	+0.16%
Ada	19	13	downdown	0.92%	-0.50%
MATLAB	20	17	down	0.89%	-0.13%
Classic Visual Basic	21			0.80%	
PL/SQL	22			0.79%	
Ruby	23			0.73%	
Prolog	24			0.71%	
COBOL	25			0.65%	
Kotlin	26			0.65%	
Objective-C	27			0.60%	
SAS	28			0.60%	
ML	29			0.58%	
Dart	30			0.55%	
Lua	31			0.51%	
OCaml	32			0.46%	
Julia	33			0.43%	
Caml	34			0.41%	
TypeScript	35			0.40%	
Zig	36			0.39%	
GML	37			0.38%	
LabVIEW	38			0.37%	
ABAP	39			0.36%	
VBScript	40			0.35%	
Lisp	41			0.33%	
X++	42			0.32%	
Clojure	43			0.32%	
D	44			0.31%	
Erlang	45			0.29%	
Ladder Logic	46			0.28%	
Haskell	47			0.26%	
Scala	48			0.26%	
Transact-SQL	49			0.26%	
CFML	50			0.23%	
MATLAB is close to dropping out of the TIOBE top 20.	51				
