Programming Language	Jul 2026	Jul 2025	Trending	Ratings	Change
Python	1	1		18.94%	-8.03%
C	2	3	up	10.86%	+1.22%
C++	3	2	down	9.12%	-0.68%
Java	4	4		8.03%	-0.73%
C#	5	5		4.49%	-0.38%
JavaScript	6	6		2.72%	-0.63%
Visual Basic	7	8	up	2.48%	+0.54%
SQL	8	13	upup	1.71%	+0.32%
R	9	15	upup	1.69%	+0.44%
Rust	10	18	upup	1.34%	+0.33%
Delphi/Object Pascal	11	10	down	1.29%	-0.48%
Scratch	12	17	upup	1.27%	+0.21%
Go	13	7	downdown	1.17%	-0.88%
PHP	14	14		1.16%	-0.12%
Swift	15	21	upup	0.99%	+0.15%
Ada	16	9	downdown	0.91%	-0.86%
Assembly language	17	19	up	0.81%	-0.12%
MATLAB	18	16	down	0.74%	-0.37%
Fortran	19	12	downdown	0.74%	-0.93%
Ruby	20	23	up	0.73%	-0.02%
Classic Visual Basic	21			0.73%	
Perl	22			0.71%	
COBOL	23			0.70%	
Prolog	24			0.68%	
SAS	25			0.66%	
LabVIEW	26			0.65%	
Julia	27			0.63%	
Kotlin	28			0.62%	
VBScript	29			0.58%	
Objective-C	30			0.58%	
GML	31			0.55%	
Dart	32			0.55%	
Lisp	33			0.54%	
Lua	34			0.52%	
PL/SQL	35			0.47%	
OCaml	36			0.44%	
Transact-SQL	37			0.42%	
Caml	38			0.39%	
ML	39			0.35%	
ABAP	40			0.35%	
D	41			0.34%	
VHDL	42			0.34%	
Ladder Logic	43			0.31%	
X++	44			0.31%	
PowerShell	45			0.31%	
Haskell	46			0.31%	
TypeScript	47			0.29%	
Zig	48			0.28%	
Scala	49			0.28%	
CFML	50			0.28%	
(Visual) FoxPro	51				
ActionScript	52				
Apex	53				
Applescript	54				
Awk	55				
Bash	56				
bc	57				
BCPL	58				
BlitzMax	59				
Bourne shell	60				
C shell	61				
C++/CLI	62				
CL (OS/400)	63				
Clojure	64				
CoffeeScript	65				
cT	66				
ECMAScript	67				
Elixir	68				
Erlang	69				
F#	70				
FreeBASIC	71				
GAMS	72				
Groovy	73				
Io	74				
J	75				
JScript	76				
JScript.NET	77				
Logo	78				
MDX	79				
MQL5	80				
MS-DOS batch	81				
OpenCL	82				
PL/I	83				
Q	84				
Ring	85				
RPG	86				
S	87				
Scheme	88				
Solidity	89				
SQR	90				
Structured Text	91				
Tcl	92				
V	93				
Vala/Genie	94				
Wolfram	95				
XBase++	96				
Xojo	97				
XPL	98				
XSLT	99				
Z shell	100				
