Programming Language	Aug 2026	Aug 2025	Trending	Ratings	Change
Python	1	1		18.53%	-7.61%
C	2	3	up	11.10%	+2.07%
C++	3	2	down	8.62%	-0.56%
Java	4	4		8.25%	-0.34%
C#	5	5		4.09%	-1.43%
JavaScript	6	6		2.63%	-0.52%
Visual Basic	7	7		2.18%	-0.15%
SQL	8	12	upup	1.88%	+0.16%
R	9	14	upup	1.56%	+0.19%
Rust	10	18	upup	1.45%	+0.31%
Delphi/Object Pascal	11	10	down	1.37%	-0.46%
Scratch	12	17	upup	1.27%	+0.12%
PHP	13	15	up	1.11%	-0.16%
Go	14	8	downdown	1.07%	-1.04%
Fortran	15	11	downdown	0.99%	-0.77%
Ruby	16	26	upup	0.98%	+0.23%
Swift	17	25	upup	0.96%	+0.19%
Perl	18	9	downdown	0.94%	-1.13%
COBOL	19	22	up	0.87%	+0.02%
Assembly language	20	20		0.86%	-0.16%
Ada	21			0.81%	
Classic Visual Basic	22			0.81%	
Objective-C	23			0.78%	
SAS	24			0.76%	
MATLAB	25			0.71%	
Julia	26			0.70%	
PL/SQL	27			0.67%	
Kotlin	28			0.64%	
OCaml	29			0.63%	
Transact-SQL	30			0.60%	
LabVIEW	31			0.56%	
Dart	32			0.53%	
Caml	33			0.53%	
Lua	34			0.50%	
GML	35			0.50%	
VHDL	36			0.49%	
Prolog	37			0.49%	
ABAP	38			0.47%	
PowerShell	39			0.46%	
Lisp	40			0.44%	
Zig	41			0.43%	
VBScript	42			0.40%	
D	43			0.38%	
TypeScript	44			0.37%	
C shell	45			0.34%	
X++	46			0.29%	
Ladder Logic	47			0.29%	
Haskell	48			0.28%	
Scala	49			0.27%	
(Visual) FoxPro	50			0.26%	
About us	51				
