Programming Language	Sep 2026	Sep 2025	Trending	Ratings	Change
Python	1	1		17.76%	-8.22%
C	2	3	up	10.28%	+1.63%
C++	3	2	down	8.67%	-0.13%
Java	4	4		7.54%	-0.81%
C#	5	5		4.22%	-2.16%
JavaScript	6	6		2.76%	-0.46%
Visual Basic	7	7		2.55%	-0.28%
SQL	8	11	up	2.16%	+0.29%
R	9	13	upup	1.69%	+0.27%
Rust	10	18	upup	1.34%	+0.33%
Fortran	11	12	up	1.24%	-0.25%
Go	12	8	downdown	1.10%	-1.22%
Delphi/Object Pascal	13	9	downdown	1.08%	-1.18%
PHP	14	15	up	1.04%	-0.21%
Scratch	15	16	up	0.99%	-0.19%
Assembly language	16	17	up	0.89%	-0.15%
Ada	17	14	down	0.85%	-0.42%
Swift	18	25	upup	0.83%	+0.10%
Objective-C	19	29	upup	0.81%	+0.32%
COBOL	20	22	up	0.78%	-0.13%
Julia	21			0.74%	
Ruby	22			0.73%	
Perl	23			0.70%	
SAS	24			0.70%	
Classic Visual Basic	25			0.68%	
Kotlin	26			0.67%	
MATLAB	27			0.61%	
Caml	28			0.60%	
Prolog	29			0.60%	
GML	30			0.59%	
Lua	31			0.57%	
PowerShell	32			0.49%	
D	33			0.47%	
PL/SQL	34			0.46%	
ABAP	35			0.46%	
Transact-SQL	36			0.46%	
VBScript	37			0.46%	
OCaml	38			0.43%	
TypeScript	39			0.43%	
Zig	40			0.43%	
Dart	41			0.43%	
X++	42			0.42%	
Lisp	43			0.42%	
Scala	44			0.39%	
LabVIEW	45			0.37%	
Ladder Logic	46			0.34%	
VHDL	47			0.32%	
XSLT	48			0.31%	
Haskell	49			0.30%	
(Visual) FoxPro	50			0.30%	
About us	51				
