Programming Language	Jan 2021	Jan 2020	Ratings(%)	Change(%)
C	1	2	17.38	1.61
Java	2	1	11.96	-4.93
Python	3	3	11.72	2.01
C++	4	4	7.56	1.99
C#	5	5	3.95	-1.4
Visual Basic	6	6	3.84	-1.44
JavaScript	7	7	2.2	-0.25
PHP	8	8	1.99	-0.41
R	9	18	1.9	1.1
Groovy	10	23	1.84	1.23
Assembly Language	11	15	1.64	0.1
SQL	12	10	1.61	0.1
Swift	13	9	1.43	-0.36
Go	14	14	1.41	0.51
Ruby	15	11	1.3	0.24
MATLAB	16	20	1.15	0.41
Perl	17	19	1.02	0.27
Objective-C	18	13	1.0	0.07
Delphi/Object Pascal	19	12	0.79	-0.2
Classic Visual Basic	20	16	0.79	-0.04
